sys userno topicid action docs c1 c2 c3
vse 28 40048 automarquee 4 406 14 100
vse 28 40048 automarquee 4 261 0 100
vse 28 40048 automarquee 4 261 0 100
vse 28 40048 automarquee 8 455 176 100
vse 28 40048 automarquee 4 250 21 100
vse 28 40048 automarquee 3 555 222 100
vse 28 40048 automarquee 3 357 129 100
vse 28 40048 automarquee 5 396 167 100
vse 28 40048 automarquee 16 507 132 100
vse 28 40048 automarquee 20 692 169 100
vsn 28 40021 automarquee 65 189 33 100
vsn 28 40021 automarquee 84 449 251 100
vsn 28 40021 automarquee 72 426 226 100
vsn 28 40021 automarquee 9 193 2 96
vsn 28 40021 automarquee 9 219 114 96
vsn 28 40021 automarquee 8 289 138 96
vsn 28 40021 automarquee 16 0 0 100
vsn 28 40021 automarquee 38 416 157 100
vsn 28 40021 automarquee 43 377 144 100
vsn 28 40021 automarquee 34 325 247 100
vsn 28 40021 automarquee 4 83 255 100
vsn 28 40021 automarquee 42 285 235 100
vsn 28 40021 automarquee 38 283 235 100
vsn 28 40021 automarquee 36 286 234 100
vsn 28 40021 automarquee 13 397 217 100
vsn 28 40021 automarquee 35 347 138 100
vsn 28 40021 automarquee 48 380 218 100
vsn 28 40021 automarquee 8 560 207 100
vse 29 40009 automarquee 22 376 4 100
vse 29 40009 automarquee 21 466 9 100
vse 29 40009 automarquee 58 363 184 90
vse 29 40009 automarquee 15 361 180 40
vse 29 40009 automarquee 0 533 242 40
vse 29 40009 automarquee 0 760 143 40
vse 29 40009 automarquee 3 400 238 40
vse 29 40009 automarquee 0 329 37 11
vse 29 40009 automarquee 0 758 347 11
vse 29 40009 automarquee 3 556 152 22
vse 29 40009 automarquee 0 195 387 22
vse 29 40009 automarquee 1 626 169 22
vse 29 40009 automarquee 0 386 2 22
vse 29 40009 automarquee 1 154 249 22
vse 29 40009 automarquee 3 599 220 22
vse 29 40009 automarquee 0 333 279 22
vse 29 40009 automarquee 1 556 2 22
vse 29 40009 automarquee 2 663 105 22
vse 29 40009 automarquee 0 96 378 22
vse 29 40009 automarquee 2 556 204 22
vse 29 40009 automarquee 0 678 206 22
vse 29 40009 automarquee 2 324 143 22
vse 29 40009 automarquee 0 639 18 22
vse 29 40009 automarquee 1 201 47 22
vse 29 40009 automarquee 2 521 180 22
vse 29 40009 automarquee 2 293 200 22
vse 29 40009 automarquee 0 482 318 22
vse 29 40009 automarquee 1 545 137 22
vse 29 40009 automarquee 3 645 157 22
vse 29 40009 automarquee 2 541 140 22
vse 29 40009 automarquee 3 585 211 22
vse 29 40009 automarquee 0 647 360 22
vse 29 40009 automarquee 1 294 200 22
vse 29 40009 automarquee 4 514 236 22
vse 29 40009 automarquee 2 542 311 22
vse 29 40009 automarquee 0 649 350 22
vse 29 40009 automarquee 2 429 186 22
vse 29 40009 automarquee 0 685 326 22
vsn 29 40048 automarquee 5 0 0 100
vsn 29 40048 automarquee 37 504 182 79
vsn 29 40048 automarquee 6 26 409 79
vsn 29 40048 automarquee 9 384 155 35
vsn 29 40048 automarquee 4 354 176 35
vsn 29 40048 automarquee 4 297 174 35
vsn 29 40048 automarquee 6 224 140 35
vsn 29 40048 automarquee 2 224 144 35
vsn 29 40048 automarquee 3 226 142 35
vsn 29 40048 automarquee 2 224 142 35
vsn 29 40048 automarquee 2 224 142 35
vsn 29 40048 automarquee 4 92 176 35
vsn 29 40048 automarquee 5 429 210 29
vsn 29 40048 automarquee 7 372 181 29
vsn 29 40048 automarquee 4 434 205 29
vsn 29 40048 automarquee 2 664 2 29
vsn 29 40048 automarquee 2 717 187 29
vsn 29 40048 automarquee 0 501 2 29
vsn 29 40048 automarquee 2 622 123 29
vsn 29 40048 automarquee 1 637 110 29
vsn 29 40048 automarquee 5 564 165 29
vsn 29 40048 automarquee 5 563 159 29
vsn 29 40048 automarquee 5 563 159 29
vsn 29 40048 automarquee 5 563 159 29
vsn 29 40048 automarquee 1 562 159 29
vsn 29 40048 automarquee 2 83 374 29
vsn 29 40048 automarquee 3 576 205 24
vsn 30 40009 automarquee 60 385 0 100
vsn 30 40009 automarquee 78 133 1 100
vsn 30 40009 automarquee 37 242 0 100
vsn 30 40009 automarquee 43 259 133 100
vsn 30 40009 automarquee 6 258 135 100
vsn 30 40009 automarquee 14 164 61 100
vsn 30 40009 automarquee 0 590 200 100
vsn 30 40009 automarquee 33 361 2 100
vsn 30 40009 automarquee 33 321 219 100
vsn 30 40009 automarquee 10 204 68 100
vsn 30 40009 automarquee 18 234 61 100
vsn 30 40009 automarquee 34 413 408 100
vsn 30 40009 automarquee 1 145 194 100
vsn 30 40009 automarquee 5 526 180 100
vsn 30 40009 automarquee 34 556 0 100
vsn 30 40009 automarquee 33 556 0 100
vsn 30 40009 automarquee 43 259 135 100
vse 30 40021 automarquee 63 524 0 100
vse 30 40021 automarquee 42 305 7 100
vse 30 40021 automarquee 35 415 109 100
vse 30 40021 automarquee 42 404 1 100
vse 30 40021 automarquee 42 387 1 100
vse 30 40021 automarquee 98 269 1 100
vse 30 40021 automarquee 64 249 3 100
vse 30 40021 automarquee 83 418 258 100
vse 30 40021 automarquee 71 420 233 100
vse 30 40021 automarquee 18 420 234 100
vse 30 40021 automarquee 11 176 157 100
vse 30 40021 automarquee 13 638 163 100
vse 30 40021 automarquee 31 336 409 100
vse 30 40021 automarquee 49 146 184 100
vse 30 40021 automarquee 26 168 191 100
vse 30 40021 automarquee 32 198 160 100
vse 30 40021 automarquee 20 366 408 100
vse 30 40021 automarquee 17 156 190 100
vse 30 40021 automarquee 20 137 155 100
vse 30 40021 automarquee 31 475 406 100
vse 30 40021 automarquee 40 257 167 100
vse 30 40021 automarquee 37 257 178 100
vse 32 40048 automarquee 30 568 5 100
vse 32 40048 automarquee 8 343 262 100
vse 32 40048 automarquee 54 203 390 100
vse 32 40048 automarquee 12 180 256 100
