sys userno topicid action poitype
vse 11 40009 move_poi 0
vse 11 40009 move_poi 1
vse 11 40009 move_poi 1
vse 11 40009 move_poi 1
vse 11 40009 move_poi 1
vse 11 40009 move_poi 1
vse 11 40009 move_poi 1
vse 11 40009 move_poi 1
vse 11 40009 move_poi 1
vse 11 40009 move_poi 1
vse 11 40009 move_poi 1
vse 11 40009 move_poi 0
vse 11 40009 move_poi 1
vse 11 40009 move_poi 1
vse 11 40009 move_poi 1
vse 11 40009 move_poi 1
vse 11 40009 move_poi 1
vse 11 40009 move_poi 1
vse 11 40009 move_poi 1
vse 11 40009 move_poi 1
vse 11 40009 move_poi 1
vse 11 40009 move_poi 1
vse 11 40009 move_poi 1
vse 11 40009 move_poi 1
vse 11 40009 move_poi 1
vse 11 40009 move_poi 1
vse 11 40009 move_poi 0
vse 11 40009 move_poi 0
vse 11 40009 move_poi 0
vse 11 40009 move_poi 0
vse 11 40009 move_poi 1
vse 11 40009 move_poi 1
vse 11 40009 move_poi 1
vse 11 40009 move_poi 1
vse 11 40009 move_poi 1
vse 11 40009 move_poi 1
vse 11 40009 move_poi 1
vse 11 40009 move_poi 1
vse 11 40009 move_poi 1
vse 11 40009 move_poi 1
vse 11 40009 move_poi 1
vse 11 40009 move_poi 1
vse 11 40009 move_poi 1
vse 11 40009 move_poi 1
vse 11 40009 move_poi 0
vsn 11 40048 move_poi 1
vsn 11 40048 move_poi 1
vsn 11 40048 move_poi 1
vsn 11 40048 move_poi 1
vsn 11 40048 move_poi 1
vsn 11 40048 move_poi 1
vsn 11 40048 move_poi 1
vsn 11 40048 move_poi 2
vsn 11 40048 move_poi 2
vsn 11 40048 move_poi 2
vsn 11 40048 move_poi 2
vsn 11 40048 move_poi 2
vsn 11 40048 move_poi 2
vsn 11 40048 move_poi 1
vsn 11 40048 move_poi 2
vsn 11 40048 move_poi 2
vsn 11 40048 move_poi 2
vsn 11 40048 move_poi 2
vsn 11 40048 move_poi 1
vsn 11 40048 move_poi 1
vsn 11 40048 move_poi 1
vsn 11 40048 move_poi 2
vsn 11 40048 move_poi 2
vsn 11 40048 move_poi 2
vsn 11 40048 move_poi 2
vsn 11 40048 move_poi 2
vsn 11 40048 move_poi 1
vsn 11 40048 move_poi 1
vsn 11 40048 move_poi 1
vsn 11 40048 move_poi 2
vsn 11 40048 move_poi 0
vsn 11 40048 move_poi 0
vsn 11 40048 move_poi 0
vsn 03 40009 move_poi 0
vsn 03 40009 move_poi 0
vsn 03 40009 move_poi 1
vsn 03 40009 move_poi 1
vsn 03 40009 move_poi 2
vsn 03 40009 move_poi 1
vsn 03 40009 move_poi 1
vsn 03 40009 move_poi 1
vsn 03 40009 move_poi 1
vsn 03 40009 move_poi 2
vsn 03 40009 move_poi 1
vsn 03 40009 move_poi 0
vsn 03 40009 move_poi 1
vsn 03 40009 move_poi 1
vsn 03 40009 move_poi 1
vsn 03 40009 move_poi 1
vsn 03 40009 move_poi 1
vsn 03 40009 move_poi 1
vsn 03 40009 move_poi 1
vsn 03 40009 move_poi 1
vsn 03 40009 move_poi 1
vsn 03 40009 move_poi 1
vsn 03 40009 move_poi 1
vsn 03 40009 move_poi 1
vsn 03 40009 move_poi 2
vsn 03 40009 move_poi 2
vsn 03 40009 move_poi 2
vsn 03 40009 move_poi 2
vsn 03 40009 move_poi 2
vsn 03 40009 move_poi 2
vsn 03 40009 move_poi 2
vsn 03 40009 move_poi 1
vsn 03 40009 move_poi 0
vsn 03 40009 move_poi 0
vsn 03 40009 move_poi 0
vsn 03 40009 move_poi 0
vsn 03 40009 move_poi 0
vse 03 40021 move_poi 0
vse 03 40021 move_poi 1
vse 03 40021 move_poi 1
vse 03 40021 move_poi 1
vse 03 40021 move_poi 1
vse 03 40021 move_poi 1
vse 03 40021 move_poi 1
vse 03 40021 move_poi 1
vse 03 40021 move_poi 1
vse 03 40021 move_poi 1
vse 03 40021 move_poi 0
vse 03 40021 move_poi 0
vse 03 40021 move_poi 0
vse 03 40021 move_poi 0
vse 03 40021 move_poi 1
vse 03 40021 move_poi 1
vse 03 40021 move_poi 0
vse 03 40021 move_poi 0
vse 03 40021 move_poi 0
vse 03 40021 move_poi 0
vse 03 40021 move_poi 0
vse 03 40021 move_poi 0
vse 03 40021 move_poi 0
vse 03 40021 move_poi 0
vse 03 40021 move_poi 0
vse 03 40021 move_poi 1
vse 03 40021 move_poi 1
vse 03 40021 move_poi 1
vse 03 40021 move_poi 1
vse 03 40021 move_poi 1
vse 03 40021 move_poi 1
vse 03 40021 move_poi 1
vse 03 40021 move_poi 1
vse 03 40021 move_poi 1
vse 03 40021 move_poi 1
vse 03 40021 move_poi 1
vse 03 40021 move_poi 1
vse 03 40021 move_poi 1
vse 03 40021 move_poi 1
vse 03 40021 move_poi 1
vse 03 40021 move_poi 1
vse 03 40021 move_poi 1
vse 03 40021 move_poi 1
vse 04 40021 move_poi 1
vse 04 40021 move_poi 1
vse 04 40021 move_poi 1
vse 04 40021 move_poi 1
vse 04 40021 move_poi 1
vse 04 40021 move_poi 1
vse 04 40021 move_poi 1
vse 04 40021 move_poi 1
vse 04 40021 move_poi 1
vse 04 40021 move_poi 1
vse 04 40021 move_poi 1
vse 04 40021 move_poi 1
vse 04 40021 move_poi 1
vse 04 40021 move_poi 1
vse 04 40021 move_poi 1
vse 04 40021 move_poi 0
vse 04 40021 move_poi 0
vse 04 40021 move_poi 0
vse 04 40021 move_poi 0
vse 04 40021 move_poi 0
vse 04 40021 move_poi 0
vse 04 40021 move_poi 0
vse 04 40021 move_poi 0
vse 04 40021 move_poi 0
vse 04 40021 move_poi 0
vse 04 40021 move_poi 0
vse 04 40021 move_poi 0
vse 04 40021 move_poi 0
vse 04 40021 move_poi 0
vse 04 40021 move_poi 1
vsn 04 40009 move_poi 0
vsn 04 40009 move_poi 0
vsn 04 40009 move_poi 0
vsn 04 40009 move_poi 0
vsn 04 40009 move_poi 0
vsn 04 40009 move_poi 0
vse 05 40048 move_poi 0
vse 05 40048 move_poi 0
vse 05 40048 move_poi 0
vse 05 40048 move_poi 1
vse 05 40048 move_poi 1
vse 05 40048 move_poi 1
vse 05 40048 move_poi 0
vse 05 40048 move_poi 0
vse 05 40048 move_poi 0
vse 07 40009 move_poi 0
vse 08 40021 move_poi 0
vse 08 40021 move_poi 1
vse 08 40021 move_poi 1
vse 08 40021 move_poi 1
vse 08 40021 move_poi 0
vse 08 40021 move_poi 0
vse 08 40021 move_poi 0
vse 08 40021 move_poi 0
vse 08 40021 move_poi 0
vse 08 40021 move_poi 1
vse 08 40021 move_poi 0
vse 08 40021 move_poi 0
vse 08 40021 move_poi 0
vse 08 40021 move_poi 0
vse 08 40021 move_poi 0
vse 08 40021 move_poi 1
vsn 08 40009 move_poi 0
vsn 08 40009 move_poi 0
vsn 08 40009 move_poi 0
vsn 08 40009 move_poi 0
vsn 08 40009 move_poi 0
vsn 08 40009 move_poi 2
vsn 08 40009 move_poi 0
vsn 08 40009 move_poi 0
vsn 08 40009 move_poi 0
vsn 08 40009 move_poi 0
vsn 08 40009 move_poi 1
vsn 08 40009 move_poi 1
vsn 08 40009 move_poi 1
vsn 08 40009 move_poi 1
vsn 08 40009 move_poi 1
vsn 08 40009 move_poi 1
vsn 09 40021 move_poi 0
vsn 09 40021 move_poi 0
vsn 09 40021 move_poi 0
vsn 09 40021 move_poi 0
vsn 09 40021 move_poi 0
vsn 09 40021 move_poi 0
vsn 09 40021 move_poi 0
vsn 09 40021 move_poi 0
vsn 09 40021 move_poi 0
vsn 09 40021 move_poi 0
vsn 09 40021 move_poi 0
vsn 09 40021 move_poi 0
vse 09 40048 move_poi 0
vse 09 40048 move_poi 0
vse 09 40048 move_poi 0
vse 09 40048 move_poi 0
vse 09 40048 move_poi 0
vse 09 40048 move_poi 0
vse 09 40048 move_poi 0
vse 09 40048 move_poi 0
vsn 06 40048 move_poi 2
vsn 06 40048 move_poi 1
vsn 06 40048 move_poi 1
vsn 06 40048 move_poi 1
vsn 06 40048 move_poi 1
vsn 06 40048 move_poi 2
vse 06 40009 move_poi 1
vse 13 40021 move_poi 1
vse 13 40021 move_poi 0
vse 13 40021 move_poi 0
vse 13 40021 move_poi 1
vse 13 40021 move_poi 1
vse 13 40021 move_poi 1
vse 13 40021 move_poi 1
vse 13 40021 move_poi 1
vse 13 40021 move_poi 1
vse 13 40021 move_poi 1
vsn 13 40009 move_poi 1
vsn 13 40009 move_poi 1
vse 14 40048 move_poi 0
vse 14 40048 move_poi 0
vse 14 40048 move_poi 0
vse 14 40048 move_poi 0
vse 14 40048 move_poi 0
vse 14 40048 move_poi 0
vse 14 40048 move_poi 0
vse 14 40048 move_poi 0
vse 14 40048 move_poi 0
vse 14 40048 move_poi 0
vse 14 40048 move_poi 0
vse 14 40048 move_poi 0
vse 14 40048 move_poi 0
vse 14 40048 move_poi 0
vse 14 40048 move_poi 0
vse 14 40048 move_poi 0
vse 14 40048 move_poi 0
vse 14 40048 move_poi 0
vse 14 40048 move_poi 0
vsn 14 40021 move_poi 0
vsn 14 40021 move_poi 0
vsn 14 40021 move_poi 0
vsn 14 40021 move_poi 0
vsn 14 40021 move_poi 0
vsn 14 40021 move_poi 0
vsn 14 40021 move_poi 0
vsn 14 40021 move_poi 0
vsn 14 40021 move_poi 0
vsn 14 40021 move_poi 0
vsn 14 40021 move_poi 0
vsn 14 40021 move_poi 0
vsn 14 40021 move_poi 0
vsn 14 40021 move_poi 1
vsn 14 40021 move_poi 1
vsn 14 40021 move_poi 1
vsn 14 40021 move_poi 1
vsn 14 40021 move_poi 1
vsn 14 40021 move_poi 1
vsn 14 40021 move_poi 1
vsn 14 40021 move_poi 0
vsn 14 40021 move_poi 0
vsn 14 40021 move_poi 1
vsn 14 40021 move_poi 1
vsn 14 40021 move_poi 1
vsn 14 40021 move_poi 1
vsn 14 40021 move_poi 1
vsn 14 40021 move_poi 1
vsn 14 40021 move_poi 1
vsn 14 40021 move_poi 0
vsn 14 40021 move_poi 0
vsn 15 40048 move_poi 2
vsn 15 40048 move_poi 1
vsn 15 40048 move_poi 2
vsn 15 40048 move_poi 2
vsn 15 40048 move_poi 2
vsn 15 40048 move_poi 2
vsn 15 40048 move_poi 2
vsn 15 40048 move_poi 2
vsn 15 40048 move_poi 2
vsn 15 40048 move_poi 1
vsn 15 40048 move_poi 1
vsn 15 40048 move_poi 2
vsn 15 40048 move_poi 1
vsn 15 40048 move_poi 1
vsn 15 40048 move_poi 0
vsn 15 40048 move_poi 2
vsn 15 40048 move_poi 2
vsn 15 40048 move_poi 2
vse 15 40009 move_poi 1
vse 15 40009 move_poi 1
vse 15 40009 move_poi 1
vse 15 40009 move_poi 1
vse 15 40009 move_poi 1
vse 15 40009 move_poi 1
vse 15 40009 move_poi 1
vse 15 40009 move_poi 1
vse 15 40009 move_poi 1
vse 15 40009 move_poi 1
vse 15 40009 move_poi 1
vse 15 40009 move_poi 1
vse 15 40009 move_poi 1
vse 15 40009 move_poi 1
vse 15 40009 move_poi 1
vse 15 40009 move_poi 1
vse 15 40009 move_poi 1
vse 16 40009 move_poi 0
vse 16 40009 move_poi 1
vse 16 40009 move_poi 1
vse 16 40009 move_poi 1
vse 16 40009 move_poi 1
vse 16 40009 move_poi 1
vse 16 40009 move_poi 1
vse 16 40009 move_poi 1
vse 16 40009 move_poi 1
vse 16 40009 move_poi 1
vse 16 40009 move_poi 1
vse 16 40009 move_poi 1
vse 16 40009 move_poi 1
vse 16 40009 move_poi 1
vsn 16 40048 move_poi 2
vsn 16 40048 move_poi 0
vsn 16 40048 move_poi 0
vsn 16 40048 move_poi 0
vsn 16 40048 move_poi 0
vsn 16 40048 move_poi 1
vsn 16 40048 move_poi 1
vsn 16 40048 move_poi 1
vsn 16 40048 move_poi 1
vsn 16 40048 move_poi 1
vsn 16 40048 move_poi 1
vsn 16 40048 move_poi 1
vsn 16 40048 move_poi 1
vsn 16 40048 move_poi 1
vsn 16 40048 move_poi 1
vsn 16 40048 move_poi 1
vsn 16 40048 move_poi 1
vsn 16 40048 move_poi 1
vsn 16 40048 move_poi 1
vsn 16 40048 move_poi 0
vsn 16 40048 move_poi 0
vsn 16 40048 move_poi 0
vse 17 40021 move_poi 0
vse 17 40021 move_poi 0
vse 17 40021 move_poi 0
vse 17 40021 move_poi 1
vse 17 40021 move_poi 1
vse 17 40021 move_poi 1
vse 17 40021 move_poi 1
vse 17 40021 move_poi 0
vse 17 40021 move_poi 0
vse 17 40021 move_poi 0
vse 17 40021 move_poi 1
vse 17 40021 move_poi 1
vse 17 40021 move_poi 1
vse 17 40021 move_poi 1
vse 17 40021 move_poi 1
vse 17 40021 move_poi 1
vse 17 40021 move_poi 0
vse 17 40021 move_poi 0
vse 17 40021 move_poi 1
vsn 17 40009 move_poi 0
vsn 17 40009 move_poi 0
vsn 17 40009 move_poi 0
vsn 17 40009 move_poi 0
vsn 17 40009 move_poi 0
vsn 17 40009 move_poi 2
vsn 17 40009 move_poi 2
vsn 17 40009 move_poi 0
vsn 17 40009 move_poi 0
vsn 17 40009 move_poi 0
vsn 17 40009 move_poi 2
vsn 17 40009 move_poi 1
vsn 17 40009 move_poi 1
vsn 17 40009 move_poi 2
vsn 17 40009 move_poi 1
vsn 17 40009 move_poi 1
vsn 17 40009 move_poi 0
vsn 17 40009 move_poi 0
vsn 17 40009 move_poi 0
vsn 18 40021 move_poi 2
vsn 18 40021 move_poi 1
vsn 18 40021 move_poi 1
vsn 18 40021 move_poi 0
vsn 18 40021 move_poi 0
vse 18 40048 move_poi 1
vse 18 40048 move_poi 1
vse 18 40048 move_poi 1
vse 18 40048 move_poi 1
vse 18 40048 move_poi 1
vse 18 40048 move_poi 1
vse 18 40048 move_poi 1
vse 18 40048 move_poi 1
vse 18 40048 move_poi 1
vse 18 40048 move_poi 1
vse 18 40048 move_poi 1
vse 18 40048 move_poi 1
vse 18 40048 move_poi 1
vse 18 40048 move_poi 0
vse 19 40048 move_poi 0
vse 19 40048 move_poi 0
vse 19 40048 move_poi 0
vse 19 40048 move_poi 0
vse 19 40048 move_poi 0
vse 19 40048 move_poi 0
vse 19 40048 move_poi 0
vse 19 40048 move_poi 0
vse 19 40048 move_poi 0
vse 19 40048 move_poi 0
vse 19 40048 move_poi 0
vse 19 40048 move_poi 0
vse 19 40048 move_poi 0
vse 19 40048 move_poi 1
vse 19 40048 move_poi 1
vse 19 40048 move_poi 1
vse 19 40048 move_poi 1
vse 19 40048 move_poi 1
vse 19 40048 move_poi 1
vse 19 40048 move_poi 1
vse 19 40048 move_poi 1
vse 19 40048 move_poi 1
vse 19 40048 move_poi 1
