"sys" "userno" "topicid" "qno" "noteno" "noteid" "docno" "p" "sysorder"
"1" "vsn" 3 40009 1 8 8171 "XIN20001014.1400.0087" 0.997664 1
"2" "vsn" 3 40009 1 7 8170 "VOA20001028.2100.0233" 1 1
"3" "vsn" 3 40009 1 6 8169 "XIN20001110.1400.0088" 1 1
"4" "vsn" 3 40009 2 8 8171 "XIN20001014.1400.0087" 0.997664 1
"5" "vsn" 3 40009 3 8 8171 "XIN20001014.1400.0087" 0.997664 1
"6" "vsn" 3 40009 3 6 8169 "XIN20001110.1400.0088" 1 1
"7" "vsn" 3 40009 4 6 8169 "XIN20001110.1400.0088" 1 1
"8" "vsn" 3 40009 5 3 8166 "AFA20001018.1800.0227" 1 1
"9" "vsn" 3 40009 5 5 8168 "XIN20001110.1400.0088" 0.552486 1
"10" "vsn" 3 40009 6 1 8164 "AFA20001018.1800.0227" 1 1
"11" "vsn" 3 40009 6 2 8165 "AFA20001018.1800.0227" 1 1
"12" "vsn" 3 40009 6 3 8166 "AFA20001018.1800.0227" 1 1
"13" "vsn" 3 40009 6 4 8167 "AFA20001018.1800.0227" 1 1
"14" "vsn" 3 40009 7 1 8164 "AFA20001018.1800.0227" 1 1
"15" "vse" 3 40021 1 13 8194 "CNN20010114.1400.0018" 1 3
"16" "vse" 3 40021 1 1 8182 "XIN20010114.2000.0128" 1 3
"17" "vse" 3 40021 3 12 8193 "CNN20010114.1400.0018" 1 3
"18" "vse" 3 40021 3 10 8191 "CTS20010115.2000.0008" 0.994667 3
"19" "vse" 3 40021 5 9 8190 "ZBN20010115.0400.0014" 0.703008 3
"20" "vse" 3 40021 6 8 8189 "ZBN20010115.0400.0014" 0 3
"21" "vse" 3 40021 7 3 8184 "CTV20010116.1330.1565" 0.982759 3
"22" "vse" 3 40021 9 4 8185 "ZBN20010115.0400.0014" 1 3
"23" "vse" 3 40021 9 3 8184 "CTV20010116.1330.1565" 0.982759 3
"24" "vse" 3 40021 9 2 8183 "XIN20010114.2000.0128" 1 3
"25" "vse" 3 40021 10 10 8191 "CTS20010115.2000.0008" 0.994667 3
"26" "vse" 3 40021 11 7 8188 "ZBN20010115.0400.0014" 0.653333 3
"27" "vse" 3 40021 11 5 8186 "ZBN20010115.0400.0014" 0 3
"28" "vse" 3 40021 12 5 8186 "ZBN20010115.0400.0014" 0 3
"29" "vsb" 3 40048 1 9 8180 "NYT20001112.1903.0110" 1 2
"30" "vsb" 3 40048 1 10 8181 "APW20001112.0900.0320" 0.0263158 2
"31" "vsb" 3 40048 2 8 8179 "NYT20001112.1903.0110" 0.997917 2
"32" "vsb" 3 40048 3 6 8177 "APW20001112.1831.0439" 1 2
"33" "vsb" 3 40048 3 7 8178 "NYT20001112.1903.0110" 0 2
"34" "vsb" 3 40048 4 2 8173 "APW20001112.1831.0439" 1 2
"35" "vsb" 3 40048 5 1 8172 "APW20001112.1831.0439" 1 2
"36" "vsb" 3 40048 6 6 8177 "APW20001112.1831.0439" 1 2
"37" "vsb" 3 40048 7 3 8174 "APW20001112.1831.0439" 1 2
"38" "vsb" 3 40048 7 5 8176 "APW20001112.1831.0439" 1 2
"39" "vsb" 3 40048 8 4 8175 "APW20001112.1831.0439" 0 2
"40" "vsn" 4 40009 1 6 8278 "VOA20001006.2100.0364" 0.996552 3
"41" "vsn" 4 40009 1 7 8279 "VOA20001006.2100.0364" 1 3
"42" "vsn" 4 40009 1 1 8273 "ZBN20001030.0400.0009" 0.645591 3
"43" "vsn" 4 40009 2 2 8274 "XIN20001110.1400.0088" 0 3
"44" "vsn" 4 40009 3 3 8275 "APW20001018.1350.0468" 0.995881 3
"45" "vsn" 4 40009 3 5 8277 "VOM20010124.0700.0972" 0 3
"46" "vsn" 4 40009 4 9 8281 "NYT20001204.0926.0050" 1 3
"47" "vsn" 4 40009 4 7 8279 "VOA20001006.2100.0364" 1 3
