sys	userno	poi_all_count
vse	03	102
vse	04	71
vse	05	23
vse	06	5
vse	07	15
vse	08	47
vse	09	29
vse	11	91
vse	12	9
vse	13	35
vse	14	61
vse	15	40
vse	16	22
vse	17	34
vse	18	19
vse	19	82
vse	20	28
vse	21	21
vse	22	49
vse	23	23
vse	24	57
vse	25	47
vse	26	72
vse	27	22
vse	28	25
vse	30	35
vse	31	90
vse	32	78
vse	33	6
vse	34	14
vse	35	29
vse	36	30
vse	37	28
vsn	03	79
vsn	04	27
vsn	05	11
vsn	06	21
vsn	07	12
vsn	08	42
vsn	09	47
vsn	11	66
vsn	12	32
vsn	13	19
vsn	14	79
vsn	15	39
vsn	16	39
vsn	17	33
vsn	18	11
vsn	19	95
vsn	20	22
vsn	21	19
vsn	22	27
vsn	23	37
vsn	24	72
vsn	25	3
vsn	26	43
vsn	27	49
vsn	28	22
vsn	30	29
vsn	31	91
vsn	32	53
vsn	33	42
vsn	34	15
vsn	35	17
vsn	36	76
vsn	37	9
