sys	userno	count
vse	03	43
vse	04	30
vse	05	9
vse	06	1
vse	07	1
vse	08	16
vse	09	8
vse	11	45
vse	13	10
vse	14	19
vse	15	17
vse	16	14
vse	17	19
vse	18	14
vse	19	57
vse	21	14
vse	22	20
vse	23	7
vse	24	37
vse	25	38
vse	26	23
vse	27	9
vse	28	8
vse	30	21
vse	31	63
vse	32	60
vse	33	4
vse	34	11
vse	35	10
vse	36	15
vse	37	3
vsn	03	37
vsn	04	6
vsn	06	6
vsn	08	16
vsn	09	12
vsn	11	33
vsn	12	11
vsn	13	2
vsn	14	31
vsn	15	18
vsn	16	22
vsn	17	19
vsn	18	5
vsn	19	62
vsn	21	7
vsn	22	17
vsn	23	14
vsn	24	56
vsn	26	14
vsn	27	14
vsn	28	4
vsn	30	17
vsn	31	67
vsn	32	33
vsn	33	19
vsn	34	4
vsn	35	9
vsn	36	34
