action	sys	userno	topic	count
add_entity_to_vibe	vsn	05	40021	2
add_entity_to_vibe	vsn	21	40009	1
add_entity_to_vibe	vsn	24	40048	6
add_entity_to_vibe	vsn	27	40021	2
add_entity_to_vibe	vsn	31	40009	2
add_entity_to_vibe	vsn	33	40048	1
add_entity_to_vibe	vsn	36	40021	3
automarquee_selection	vse	28	40048	10
automarquee_selection	vse	30	40021	22
automarquee_selection	vse	31	40021	50
automarquee_selection	vse	32	40048	45
automarquee_selection	vse	33	40009	8
automarquee_selection	vse	34	40009	8
automarquee_selection	vse	35	40021	17
automarquee_selection	vse	36	40048	17
automarquee_selection	vse	37	40048	26
automarquee_selection	vsn	28	40021	18
automarquee_selection	vsn	30	40009	17
automarquee_selection	vsn	31	40009	51
automarquee_selection	vsn	32	40021	44
automarquee_selection	vsn	33	40048	31
automarquee_selection	vsn	34	40048	17
automarquee_selection	vsn	35	40009	14
automarquee_selection	vsn	36	40021	39
automarquee_selection	vsn	37	40021	17
blur_doc	vse	03	40021	13
blur_doc	vse	04	40021	12
blur_doc	vse	05	40048	21
blur_doc	vse	06	40009	4
blur_doc	vse	07	40009	9
blur_doc	vse	08	40021	10
blur_doc	vse	09	40048	8
blur_doc	vse	11	40009	18
blur_doc	vse	12	40021	12
blur_doc	vse	13	40021	2
blur_doc	vse	14	40048	10
blur_doc	vse	15	40009	13
blur_doc	vse	16	40009	20
blur_doc	vse	17	40021	10
blur_doc	vse	18	40048	11
blur_doc	vse	19	40048	8
blur_doc	vse	20	40009	11
blur_doc	vse	21	40021	17
blur_doc	vse	22	40021	19
blur_doc	vse	23	40048	13
blur_doc	vse	24	40009	8
blur_doc	vse	25	40009	11
blur_doc	vse	26	40021	8
blur_doc	vse	27	40048	29
blur_doc	vse	28	40048	4
blur_doc	vse	30	40021	12
blur_doc	vse	31	40021	31
blur_doc	vse	32	40048	19
blur_doc	vse	33	40009	9
blur_doc	vse	34	40009	4
blur_doc	vse	35	40021	12
blur_doc	vse	36	40048	10
blur_doc	vse	37	40048	31
blur_doc	vsn	03	40009	12
blur_doc	vsn	04	40009	10
blur_doc	vsn	05	40021	22
blur_doc	vsn	06	40048	31
blur_doc	vsn	07	40048	20
blur_doc	vsn	08	40009	11
blur_doc	vsn	09	40021	11
blur_doc	vsn	11	40048	8
blur_doc	vsn	12	40009	17
blur_doc	vsn	13	40009	4
blur_doc	vsn	14	40021	18
blur_doc	vsn	15	40048	5
blur_doc	vsn	16	40048	13
blur_doc	vsn	17	40009	10
blur_doc	vsn	18	40021	16
blur_doc	vsn	19	40021	12
blur_doc	vsn	20	40048	3
blur_doc	vsn	21	40009	18
blur_doc	vsn	22	40009	25
blur_doc	vsn	23	40021	8
blur_doc	vsn	24	40048	11
blur_doc	vsn	25	40048	4
blur_doc	vsn	26	40009	14
blur_doc	vsn	27	40021	20
blur_doc	vsn	28	40021	8
blur_doc	vsn	30	40009	7
blur_doc	vsn	31	40009	21
blur_doc	vsn	32	40021	17
blur_doc	vsn	33	40048	9
blur_doc	vsn	34	40048	13
blur_doc	vsn	35	40009	17
blur_doc	vsn	36	40021	35
blur_doc	vsn	37	40021	24
change_weight	vse	03	40021	3
change_weight	vse	05	40048	1
change_weight	vse	15	40009	5
change_weight	vse	28	40048	4
change_weight	vse	37	40048	4
change_weight	vsn	05	40021	3
change_weight	vsn	13	40009	2
change_weight	vsn	15	40048	9
change_weight	vsn	21	40009	1
change_weight	vsn	28	40021	2
change_weight	vsn	37	40021	4
close_doc	vsn	36	40021	1
double_slider_filtering	vse	03	40021	7
double_slider_filtering	vse	05	40048	2
double_slider_filtering	vse	08	40021	7
double_slider_filtering	vse	09	40048	4
double_slider_filtering	vse	11	40009	4
double_slider_filtering	vse	13	40021	5
double_slider_filtering	vse	14	40048	14
double_slider_filtering	vse	16	40009	2
double_slider_filtering	vse	18	40048	1
double_slider_filtering	vse	19	40048	8
double_slider_filtering	vse	21	40021	5
double_slider_filtering	vse	25	40009	1
double_slider_filtering	vse	27	40048	1
double_slider_filtering	vse	28	40048	2
double_slider_filtering	vse	31	40021	3
double_slider_filtering	vse	32	40048	1
double_slider_filtering	vse	33	40009	2
double_slider_filtering	vse	36	40048	3
double_slider_filtering	vse	37	40048	2
double_slider_filtering	vsn	03	40009	16
double_slider_filtering	vsn	08	40009	5
double_slider_filtering	vsn	09	40021	4
double_slider_filtering	vsn	14	40021	20
double_slider_filtering	vsn	16	40048	1
double_slider_filtering	vsn	19	40021	7
double_slider_filtering	vsn	20	40048	1
double_slider_filtering	vsn	21	40009	4
double_slider_filtering	vsn	25	40048	2
double_slider_filtering	vsn	28	40021	2
double_slider_filtering	vsn	31	40009	2
double_slider_filtering	vsn	32	40021	2
double_slider_filtering	vsn	33	40048	8
double_slider_filtering	vsn	36	40021	8
focus_doc	vse	03	40021	14
focus_doc	vse	04	40021	14
focus_doc	vse	05	40048	30
focus_doc	vse	06	40009	5
focus_doc	vse	07	40009	11
focus_doc	vse	08	40021	13
focus_doc	vse	09	40048	11
focus_doc	vse	11	40009	21
focus_doc	vse	12	40021	20
focus_doc	vse	13	40021	7
focus_doc	vse	14	40048	16
focus_doc	vse	15	40009	15
focus_doc	vse	16	40009	21
focus_doc	vse	17	40021	11
focus_doc	vse	18	40048	12
focus_doc	vse	19	40048	9
focus_doc	vse	20	40009	19
focus_doc	vse	21	40021	23
focus_doc	vse	22	40021	21
focus_doc	vse	23	40048	14
focus_doc	vse	24	40009	14
focus_doc	vse	25	40009	12
focus_doc	vse	26	40021	9
focus_doc	vse	27	40048	34
focus_doc	vse	28	40048	5
focus_doc	vse	30	40021	13
focus_doc	vse	31	40021	32
focus_doc	vse	32	40048	21
focus_doc	vse	33	40009	10
focus_doc	vse	34	40009	4
focus_doc	vse	35	40021	14
focus_doc	vse	36	40048	11
focus_doc	vse	37	40048	31
focus_doc	vsn	03	40009	12
