action	sys	userno	topic	count
move_poi	vse	03	40021	29
move_poi	vse	04	40021	16
move_poi	vse	05	40048	3
move_poi	vse	06	40009	1
move_poi	vse	08	40021	5
move_poi	vse	11	40009	38
move_poi	vse	13	40021	8
move_poi	vse	15	40009	17
move_poi	vse	16	40009	13
move_poi	vse	17	40021	11
move_poi	vse	18	40048	13
move_poi	vse	19	40048	24
move_poi	vse	21	40021	14
move_poi	vse	23	40048	3
move_poi	vse	24	40009	9
move_poi	vse	25	40009	10
move_poi	vse	26	40021	7
move_poi	vse	28	40048	5
move_poi	vse	30	40021	2
move_poi	vse	31	40021	32
move_poi	vse	32	40048	27
move_poi	vse	33	40009	4
move_poi	vse	35	40021	5
move_poi	vsn	03	40009	20
move_poi	vsn	06	40048	4
move_poi	vsn	08	40009	6
move_poi	vsn	11	40048	14
move_poi	vsn	12	40009	8
move_poi	vsn	13	40009	2
move_poi	vsn	14	40021	14
move_poi	vsn	15	40048	5
move_poi	vsn	16	40048	14
move_poi	vsn	17	40009	4
move_poi	vsn	18	40021	2
move_poi	vsn	19	40021	11
move_poi	vsn	22	40009	7
move_poi	vsn	24	40048	32
move_poi	vsn	26	40009	1
move_poi	vsn	28	40021	1
move_poi	vsn	31	40009	13
move_poi	vsn	32	40021	7
move_poi	vsn	33	40048	1
move_poi	vsn	35	40009	5
