action	sys	userno	topic	count
move_poi	vse	03	40021	14
move_poi	vse	04	40021	14
move_poi	vse	05	40048	6
move_poi	vse	07	40009	1
move_poi	vse	08	40021	11
move_poi	vse	09	40048	8
move_poi	vse	11	40009	7
move_poi	vse	13	40021	2
move_poi	vse	14	40048	19
move_poi	vse	16	40009	1
move_poi	vse	17	40021	8
move_poi	vse	18	40048	1
move_poi	vse	19	40048	33
move_poi	vse	22	40021	20
move_poi	vse	23	40048	4
move_poi	vse	24	40009	28
move_poi	vse	25	40009	28
move_poi	vse	26	40021	16
move_poi	vse	27	40048	9
move_poi	vse	28	40048	3
move_poi	vse	30	40021	19
move_poi	vse	31	40021	31
move_poi	vse	32	40048	33
move_poi	vse	34	40009	11
move_poi	vse	35	40021	5
move_poi	vse	36	40048	15
move_poi	vse	37	40048	3
move_poi	vsn	03	40009	8
move_poi	vsn	04	40009	6
move_poi	vsn	08	40009	9
move_poi	vsn	09	40021	12
move_poi	vsn	11	40048	3
move_poi	vsn	14	40021	17
move_poi	vsn	15	40048	1
move_poi	vsn	16	40048	7
move_poi	vsn	17	40009	11
move_poi	vsn	18	40021	2
move_poi	vsn	19	40021	36
move_poi	vsn	21	40009	7
move_poi	vsn	22	40009	8
move_poi	vsn	23	40021	7
move_poi	vsn	24	40048	13
move_poi	vsn	26	40009	13
move_poi	vsn	27	40021	13
move_poi	vsn	30	40009	12
move_poi	vsn	31	40009	35
move_poi	vsn	32	40021	24
move_poi	vsn	33	40048	10
move_poi	vsn	34	40048	4
move_poi	vsn	35	40009	2
move_poi	vsn	36	40021	34
