userno	topicid	sys	familiar	psg_q	opendoc_psg	um_helpful	mediation_helpful	positive	difficulty	coverage
3	40048	b	1	5	5	4	3	4	2	
4	40048	b	2	4	4	3	3	3	2	
5	40009	b	3	4	4	4	4	4	4	
6	40021	b	1	4	4	5	4	4	4	
7	40021	b	1	3	4	2	2	3	3	
8	40048	b	1	2	4	3	4	4	2	
9	40009	b	3	5	5	5	5	5		
11	40021	b	1	3	5	3	2	2	5	
12	40048	b	1	5	5	4	4	5	2	
13	40048	b	1	4	5	4	4	5	2	
14	40009	b	1	2	2	3	4	4	2	
15	40021	b	1	4	5	3	4	4	3	
16	40021	b	1	3	5	4	4	4	4	
17	40048	b	1	4	4	3	3	4	2	
18	40009	b	1	3	3	3	3	3	2	
19	40009	b	1	5	5	3	3	4	4	
20	40021	b	1	3	4	3	3	3	2	
21	40048	b	2	4	5	4	3	4	2	
22	40048	b	1	3	3	3	3	4	3	
23	40009	b	5	5	5	5	5	5	1	
24	40021	b	1	3	3	2	3	3	5	
25	40021	b	1	3	4	4	4	3	3	
26	40048	b	1	4	4	3	3	4	2	
27	40009	b	2	3	5	3	3	3	3	
28	40009	b	1	4	4	4	3	4	2	4
30	40048	b	1	3	4	4	4	4	3	3
31	40048	b	1	3	4	4	3	4	4	4
32	40009	b	1	3	4	3	5	3	3	2
33	40021	b	1	3	4	3	3	3	3	3
34	40021	b	1	3	5	3	4	5	2	4
35	40048	b	1	4	5	4	3	3	2	4
36	40009	b	1	3	2	3	4	3	4	2
37	40009	b	3	4	4	4	3	4	2	4
