userno	topicid	sys	familiar	psg_q	opendoc_psg	vis_ability	adv_helpful	poi_loc	rel_exp	poi_cluster	easy	positive	difficulty	converage
3	40021	e	1	2	3	2	1	2	2	1	2	2	3	
4	40021	e	1	3	3	1	1	1	2	2	2	2	4	
5	40048	e	1	4	4	4	4	4	5	3	3	4	3	
6	40009	e	3	4	4	5	3	3	5	3	4	4	3	
7	40009	e	2	3	3	2	4	3	4	3	2	2	2	
8	40021	e	1	3	3	3	4	4	4	3	2	2	4	
9	40048	e	1	5	5	3	3	3	4	4	4	4		
11	40009	e	1	4	5	3	4	3	3	2	3	3	4	
12	40021	e	1	4	5	4	4	4	5	5	4	4	2	
13	40021	e	1	3	4	3	2	3	3	2	2	3	3	
14	40048	e	1	3	4	3	2	2	4	3	3	3	2	
15	40009	e	2	3	4	3	4	3	4	3	2	3	4	
16	40009	e	1	5	5	5	5	2	4	3	4	5	3	
17	40021	e	1	3	4	2	3	2	4	3	2	3	3	
18	40048	e	1	5	2	3	3	1	4	3	4	4	2	
19	40048	e	1	5	5	5	4	4		2	4	5	4	
20	40009	e	3	3	3	2	2	2	3	3	3	3	3	
21	40021	e	2	4	4	4	4	3	5	2	4	3	3	
22	40021	e	1	2	2	2	2	3	2	3	2	2	3	
23	40048	e	1	3	4	3	4	4	3	3	3	3	3	
24	40009	e	1	3	4	3	4	3	3	3	3	3	4	
25	40009	e	4	2	4	2	3	4	4	1	2	3	3	
26	40021	e	2	2	5	1	3	3	4	3	3	2	5	
27	40048	e	1	3	3	4	3	3	5	3	2	2	4	
28	40048	e	1	4	4	4	4	3	5	3	4	4	2	4
30	40021	e	1	4	4	4	3	3	4	3	4	4	3	3
31	40021	e	1	4	4	3	2	3	4	3	4	4	3	3
32	40048	e	2	2	4	3	4	3	5	5	3	4	3	2
33	40009	e	1	4	4	4	4	3	3	3	4	4	1	4
34	40009	e	1	5	4	4	3	3	3	3	4	4	2	5
35	40021	e	1	3	5	1	1	2	4	1	1	1	3	1
36	40048	e	1	5	2	2	1	3	2	2	2	2	2	3
37	40048	e	1	3	3	3	3	2	4	2	4	4	3	4
