userno	topicid	sys	familiar	psg_q	opendoc_psg	vis_ability	ne_useful	ne_rel	nevis_helpful	positive	difficulty	coverage
3	40009	n	2	4	5	3	1	3	2	4	3	
4	40009	n	3	3	3	1	1	1	1	2	2	
5	40021	n	1	3	3	3	2	4	3	4	2	
6	40048	n	1	4	4	5	3	4	4	4	3	
7	40048	n	1	2	2	2	3		2	2		
8	40009	n	1	3	3	3	2	3	3	3	3	
9	40021	n	1	4	4	4	4	4	4	5	5	
11	40048	n	1	4	5	3	3	2	3	3	4	
12	40009	n	4	3	5	5	5	4	4	5		
13	40009	n	1	4	4	3	4	3	4	4	4	
14	40021	n	1	2	3	2	3	4	3	3	2	
15	40048	n	1	3	5	3	4	3	3	3	4	
16	40048	n	1	4	5	5	3	2	3	4	3	
17	40009	n	3	3	4	2	3	3	2	3	2	
18	40021	n	2	4	4	3	2	3	3	4	3	
19	40021	n	2	3	4	4	3	3	3	4	5	
20	40048	n	1	5	5	4	3	3	3	4	2	
21	40009	n	3	3	5	3	1	3	2	3	2	
22	40009	n	1	3	4	2	4	3	2	3	3	
23	40021	n	1	4	4	4	3	3	3	3	3	
24	40048	n	1	4	2	4	3	4	3	3	5	
25	40048	n	3	4	4	5	5	4	4	5	2	
26	40009	n	1	4	4	3	1	1	3	3	2	
27	40021	n	1	4	5	3	2	4	2	2	4	
28	40021	n	1	4	4	5	3	4	4	4	2	4
30	40009	n	1	3	4	4	4	3	4	4	4	3
31	40009	n	1	4	3	3	3	4	3	3	3	3
32	40021	n	1	4	4	3	2	4	3	4	3	2
33	40048	n	1	3	4	3	3	3	4	3	2	3
34	40048	n	1	4	4	3	3	3	3	4	2	4
35	40009	n	2	2	2	1	1	1	1	1	2	2
36	40021	n	1	3	5	3	1	4	2	2	4	2
37	40021	n	1	4	4	3	3	4	4	4	2	4
