sys userno topicid top5 top10 inum
vsb 01 40009 1.0 0.9 0
vsb 01 40009 1.0 1.0 0
vsb 01 40009 1.0 1.0 0
vsb 01 40009 1.0 0.9 0
vsb 01 40009 1.0 1.0 0
vsb 01 40009 1.0 1.0 1
vsb 01 40009 1.0 1.0 1
vsb 01 40009 1.0 1.0 1
vsb 01 40009 1.0 0.9 1
vsb 01 40009 1.0 0.9 1
vsb 01 40009 1.0 0.9 1
vsb 01 40009 1.0 0.9 1
vsb 01 40009 1.0 0.9 1
vsb 01 40009 1.0 0.9 1
vsb 01 40009 1.0 0.9 1
vsb 01 40009 1.0 0.9 1
vsb 01 40002 1.0 1.0 0
vsb 01 40002 1.0 1.0 0
vsb 01 40002 1.0 1.0 1
vsb 01 40002 1.0 1.0 1
vsb 01 40002 1.0 1.0 1
vsb 01 40002 1.0 1.0 1
vsb 01 40002 1.0 1.0 1
vsb 01 40002 0.6 0.7 1
vsb 01 40002 0.8 0.9 1
vsb 01 40002 1.0 1.0 1
vsb 01 40002 1.0 1.0 1
vsb 01 40002 1.0 0.9 1
vsb 01 40002 1.0 1.0 1
vsb 01 40002 1.0 1.0 1
vsb 02 40048 1.0 1.0 0
vsb 02 40048 1.0 1.0 1
vsb 02 40048 1.0 1.0 1
vsb 02 40048 1.0 1.0 1
vsb 02 40048 1.0 1.0 1
vsb 02 40048 1.0 1.0 1
vsb 02 40048 1.0 1.0 1
vsb 02 40048 1.0 1.0 1
vsb 02 40048 1.0 1.0 1
vsb 02 40026 0.4 0.6 0
vsb 02 40026 0.6 0.5 0
vsb 02 40026 0.6 0.6 0
vsb 02 40026 0.0 0.0 1
vsb 02 40026 1.0 0.9 1
vsb 02 40026 0.8 0.8 1
vsb 02 40026 0.8 0.9 1
vsb 02 40026 0.8 0.9 1
vsb 02 40026 0.8 0.9 1
vsb 10 40009 1.0 1.0 0
vsb 10 40009 0.8 0.7 0
vsb 10 40009 0.8 0.7 0
vsb 10 40009 0.0 0.1 0
vsb 10 40009 0.8 0.8 0
vsb 10 40009 0.8 0.7 0
vsb 10 40009 1.0 0.9 1
vsb 10 40009 1.0 1.0 1
vsb 10 40009 0.6 0.4 1
vsb 10 40009 1.0 1.0 1
vsb 10 40009 1.0 0.9 1
vsb 10 40009 0.6 0.7 1
vsb 10 40009 0.0 0.0 1
vsb 10 40009 0.0 0.0 1
vsb 10 40009 0.4 0.5 1
vsb 10 40009 0.4 0.4 1
vsb 11 40021 1.0 1.0 0
vsb 11 40021 1.0 1.0 1
vsb 11 40021 1.0 1.0 1
vsb 11 40021 1.0 1.0 1
vsb 11 40021 1.0 1.0 1
vsb 11 40021 1.0 1.0 1
vsb 11 40021 1.0 1.0 1
vsb 11 40021 1.0 1.0 1
vsb 11 40021 1.0 1.0 1
vsb 03 40048 1.0 1.0 0
vsb 03 40048 1.0 1.0 0
vsb 20 40021 1.0 1.0 0
vsb 20 40021 1.0 1.0 1
vsb 20 40021 1.0 1.0 1
vsb 20 40021 1.0 1.0 1
vsb 20 40021 1.0 1.0 1
vsb 20 40021 1.0 1.0 1
vsb 20 40021 1.0 1.0 1
vsb 20 40021 1.0 1.0 1
vsb 20 40021 1.0 1.0 1
vsb 04 40048 0.2 0.3 0
vsb 04 40048 0.2 0.3 0
vsb 04 40048 0.0 0.0 0
vsb 04 40048 1.0 1.0 0
vsb 04 40048 1.0 1.0 1
vsb 04 40048 1.0 1.0 1
vsb 04 40048 1.0 1.0 1
vsb 04 40048 1.0 1.0 1
vsb 04 40048 0.8 0.5 1
vsb 04 40048 0.0 0.0 1
vsb 05 40009 1.0 0.8 0
vsb 05 40009 0.8 0.7 0
vsb 05 40009 1.0 0.9 0
vsb 05 40009 1.0 0.8 0
vsb 07 40021 1.0 1.0 0
vsb 07 40021 1.0 1.0 1
vsb 07 40021 1.0 1.0 1
vsb 07 40021 1.0 1.0 1
vsb 07 40021 1.0 1.0 1
vsb 07 40021 1.0 1.0 1
vsb 07 40021 1.0 1.0 1
vsb 07 40021 1.0 1.0 1
vsb 07 40021 1.0 1.0 1
vsb 07 40021 1.0 1.0 1
vsb 08 40048 1.0 1.0 0
vsb 08 40048 1.0 1.0 0
vsb 08 40048 0.8 0.7 0
vsb 08 40048 0.4 0.7 1
vsb 08 40048 1.0 1.0 1
vsb 08 40048 1.0 0.9 1
vsb 08 40048 1.0 0.8 1
vsb 08 40048 1.0 1.0 1
vsb 08 40048 1.0 1.0 1
vsb 08 40048 1.0 1.0 1
vsb 08 40048 1.0 1.0 1
vsb 08 40048 1.0 1.0 1
vsb 08 40048 1.0 1.0 1
vsb 08 40048 1.0 1.0 1
vsb 08 40048 1.0 1.0 1
vsb 08 40048 1.0 1.0 1
vsb 08 40048 1.0 1.0 1
