sys userno topicid top5 top10 ndcg inum
vsb 01 40009 1.0 0.9 1.0 0
vsb 01 40009 1.0 1.0 1.0 0
vsb 01 40009 1.0 1.0 1.0 0
vsb 01 40009 1.0 0.9 1.0 0
vsb 01 40009 1.0 1.0 1.0 0
vsb 01 40009 1.0 1.0 1.0 1
vsb 01 40009 1.0 1.0 1.0 1
vsb 01 40009 1.0 1.0 1.0 1
vsb 01 40009 1.0 0.9 0.993478637514 1
vsb 01 40009 1.0 0.9 0.993478637514 1
vsb 01 40009 1.0 0.9 0.993478637514 1
vsb 01 40009 1.0 0.9 0.993478637514 1
vsb 01 40009 1.0 0.9 0.997085901983 1
vsb 01 40009 1.0 0.9 0.997085901983 1
vsb 01 40009 1.0 0.9 1.0 1
vsb 01 40009 1.0 0.9 0.993478637514 1
vsb 01 40002 1.0 1.0 1.0 0
vsb 01 40002 1.0 1.0 1.0 0
vsb 01 40002 1.0 1.0 1.0 1
vsb 01 40002 1.0 1.0 1.0 1
vsb 01 40002 1.0 1.0 1.0 1
vsb 01 40002 1.0 1.0 1.0 1
vsb 01 40002 1.0 1.0 1.0 1
vsb 01 40002 1.0 0.7 0.771844906518 1
vsb 01 40002 1.0 0.9 0.858892699834 1
vsb 01 40002 1.0 1.0 1.0 1
vsb 01 40002 1.0 1.0 1.0 1
vsb 01 40002 1.0 0.9 1.0 1
vsb 01 40002 1.0 1.0 1.0 1
vsb 01 40002 1.0 1.0 1.0 1
vsb 02 40048 1.0 1.0 1.0 0
vsb 02 40048 1.0 1.0 1.0 1
vsb 02 40048 1.0 1.0 1.0 1
vsb 02 40048 1.0 1.0 1.0 1
vsb 02 40048 1.0 1.0 1.0 1
vsb 02 40048 1.0 1.0 1.0 1
vsb 02 40048 1.0 1.0 1.0 1
vsb 02 40048 1.0 1.0 1.0 1
vsb 02 40048 1.0 1.0 1.0 1
vsb 02 40026 1.0 0.6 0.732401708463 0
vsb 02 40026 1.0 0.5 0.864630871223 0
vsb 02 40026 1.0 0.6 0.75705518006 0
vsb 02 40026 0.0 0.0 0.0 1
vsb 02 40026 1.0 0.9 0.997085901983 1
vsb 02 40026 1.0 0.8 0.92887024934 1
vsb 02 40026 1.0 0.9 0.933400197612 1
vsb 02 40026 1.0 0.9 0.959832153094 1
vsb 02 40026 1.0 0.9 0.959832153094 1
vsb 10 40009 1.0 1.0 1.0 0
vsb 10 40009 1.0 0.7 0.94798473779 0
vsb 10 40009 1.0 0.7 0.94798473779 0
vsb 10 40009 0.2 0.1 0.301029995664 0
vsb 10 40009 1.0 0.8 0.85240724958 0
vsb 10 40009 1.0 0.7 0.944313380499 0
vsb 10 40009 1.0 0.9 0.993478637514 1
vsb 10 40009 1.0 1.0 1.0 1
vsb 10 40009 0.8 0.4 0.963861471936 1
vsb 10 40009 1.0 1.0 1.0 1
vsb 10 40009 1.0 0.9 0.997085901983 1
vsb 10 40009 1.0 0.7 0.751907748683 1
vsb 10 40009 0.0 0.0 0.0 1
vsb 10 40009 0.0 0.0 0.0 1
vsb 10 40009 1.0 0.5 0.694265969676 1
vsb 10 40009 0.8 0.4 0.671477416435 1
vsb 11 40021 1.0 1.0 1.0 0
vsb 11 40021 1.0 1.0 1.0 1
vsb 11 40021 1.0 1.0 1.0 1
vsb 11 40021 1.0 1.0 1.0 1
vsb 11 40021 1.0 1.0 1.0 1
vsb 11 40021 1.0 1.0 1.0 1
vsb 11 40021 1.0 1.0 1.0 1
vsb 11 40021 1.0 1.0 1.0 1
vsb 11 40021 1.0 1.0 1.0 1
vsb 03 40048 1.0 1.0 1.0 0
vsb 03 40048 1.0 1.0 1.0 0
vsb 20 40021 1.0 1.0 1.0 0
vsb 20 40021 1.0 1.0 1.0 1
vsb 20 40021 1.0 1.0 1.0 1
vsb 20 40021 1.0 1.0 1.0 1
vsb 20 40021 1.0 1.0 1.0 1
vsb 20 40021 1.0 1.0 1.0 1
vsb 20 40021 1.0 1.0 1.0 1
vsb 20 40021 1.0 1.0 1.0 1
vsb 20 40021 1.0 1.0 1.0 1
vsb 04 40048 0.6 0.3 0.474138324799 0
vsb 04 40048 0.6 0.3 0.474138324799 0
vsb 04 40048 0.0 0.0 0.0 0
vsb 04 40048 1.0 1.0 1.0 0
vsb 04 40048 1.0 1.0 1.0 1
vsb 04 40048 1.0 1.0 1.0 1
vsb 04 40048 1.0 1.0 1.0 1
vsb 04 40048 1.0 1.0 1.0 1
vsb 04 40048 1.0 0.5 0.987695509553 1
vsb 04 40048 0.0 0.0 0.0 1
vsb 05 40009 1.0 0.8 0.981495726985 0
vsb 05 40009 1.0 0.7 0.977386580557 0
vsb 05 40009 1.0 0.9 1.0 0
vsb 05 40009 1.0 0.8 0.981495726985 0
vsb 07 40021 1.0 1.0 1.0 0
vsb 07 40021 1.0 1.0 1.0 1
vsb 07 40021 1.0 1.0 1.0 1
vsb 07 40021 1.0 1.0 1.0 1
vsb 07 40021 1.0 1.0 1.0 1
vsb 07 40021 1.0 1.0 1.0 1
vsb 07 40021 1.0 1.0 1.0 1
vsb 07 40021 1.0 1.0 1.0 1
vsb 07 40021 1.0 1.0 1.0 1
vsb 07 40021 1.0 1.0 1.0 1
vsb 08 40048 1.0 1.0 1.0 0
vsb 08 40048 1.0 1.0 1.0 0
vsb 08 40048 1.0 0.7 0.821041195757 0
vsb 08 40048 1.0 0.7 0.725622971949 1
vsb 08 40048 1.0 1.0 1.0 1
vsb 08 40048 1.0 0.9 1.0 1
vsb 08 40048 1.0 0.8 1.0 1
vsb 08 40048 1.0 1.0 1.0 1
vsb 08 40048 1.0 1.0 1.0 1
vsb 08 40048 1.0 1.0 1.0 1
vsb 08 40048 1.0 1.0 1.0 1
vsb 08 40048 1.0 1.0 1.0 1
vsb 08 40048 1.0 1.0 1.0 1
vsb 08 40048 1.0 1.0 1.0 1
vsb 08 40048 1.0 1.0 1.0 1
vsb 08 40048 1.0 1.0 1.0 1
vsb 08 40048 1.0 1.0 1.0 1
vsb 08 40048 1.0 1.0 1.0 1
vsb 08 40048 1.0 1.0 1.0 1
vsb 08 40048 1.0 1.0 1.0 1
vsb 08 40048 1.0 1.0 1.0 1
vsb 08 40048 1.0 1.0 1.0 1
vsb 09 40009 1.0 0.6 0.81229740126 0
vsb 09 40009 1.0 0.7 0.901464710159 0
vsb 09 40009 1.0 0.6 0.635273913542 0
vsb 09 40009 1.0 0.7 0.832311308984 0
vsb 09 40009 1.0 0.9 0.982674184646 1
vsb 09 40009 1.0 0.9 0.858892699834 1
vsb 09 40009 1.0 0.9 0.959832153094 1
vsb 09 40009 1.0 0.9 0.858892699834 1
vsb 09 40009 1.0 0.9 0.858892699834 1
vsb 09 40009 0.2 0.1 0.630929753571 1
vsb 09 40009 0.2 0.1 0.630929753571 1
vsb 09 40009 1.0 0.8 0.984608034498 1
vsb 06 40021 1.0 1.0 1.0 0
vsb 06 40021 0.0 0.0 0.0 0
vsb 06 40021 1.0 1.0 1.0 0
vsb 06 40021 1.0 1.0 1.0 1
vsb 06 40021 1.0 1.0 1.0 1
vsb 06 40021 1.0 1.0 1.0 1
vsb 13 40048 1.0 1.0 1.0 0
vsb 13 40048 1.0 1.0 1.0 0
vsb 13 40048 1.0 1.0 1.0 0
vsb 13 40048 1.0 1.0 1.0 0
vsb 13 40048 1.0 1.0 1.0 1
vsb 13 40048 0.0 0.0 0.0 1
vsb 13 40048 0.0 0.0 0.0 1
vsb 13 40048 0.0 0.0 0.0 1
vsb 13 40048 1.0 1.0 1.0 1
vsb 13 40048 0.0 0.0 0.0 1
vsb 13 40048 1.0 1.0 1.0 1
vsb 13 40048 1.0 1.0 1.0 1
vsb 13 40048 1.0 1.0 1.0 1
vsb 13 40048 1.0 1.0 1.0 1
vsb 14 40009 1.0 1.0 1.0 0
vsb 14 40009 1.0 0.9 0.982674184646 0
vsb 14 40009 1.0 0.9 1.0 0
vsb 14 40009 1.0 0.9 0.993478637514 0
vsb 14 40009 1.0 0.6 0.957266581695 0
vsb 14 40009 1.0 0.9 0.993478637514 0
vsb 14 40009 1.0 0.9 0.973827093747 1
vsb 14 40009 1.0 1.0 1.0 1
vsb 14 40009 1.0 0.9 0.973827093747 1
vsb 14 40009 1.0 0.5 0.698898533806 1
vsb 14 40009 1.0 0.6 0.793797615447 1
vsb 14 40009 1.0 0.6 0.793797615447 1
vsb 14 40009 1.0 0.6 0.555378220744 1
vsb 14 40009 1.0 0.9 0.959832153094 1
vsb 14 40009 1.0 0.9 0.973827093747 1
vsb 14 40009 1.0 0.9 0.993478637514 1
vsb 14 40009 1.0 0.8 0.97271126957 1
vsb 14 40009 1.0 0.9 1.0 1
vsb 14 40009 1.0 0.9 1.0 1
vsb 14 40009 1.0 0.9 0.993478637514 1
vsb 14 40009 1.0 0.6 0.804896565574 1
vsb 14 40009 1.0 0.8 1.0 1
vsb 14 40009 1.0 0.9 0.997085901983 1
vsb 14 40009 1.0 0.9 1.0 1
vsb 14 40009 1.0 0.9 0.997085901983 1
vsb 14 40009 1.0 0.9 1.0 1
vsb 14 40009 1.0 0.9 0.982674184646 1
vsb 15 40021 1.0 1.0 1.0 0
vsb 15 40021 1.0 0.8 0.963262422169 0
vsb 15 40021 1.0 1.0 1.0 1
vsb 15 40021 1.0 1.0 1.0 1
vsb 15 40021 1.0 1.0 1.0 1
vsb 15 40021 1.0 1.0 1.0 1
vsb 15 40021 1.0 1.0 1.0 1
vsb 15 40021 1.0 1.0 1.0 1
vsb 15 40021 1.0 1.0 1.0 1
vsb 16 40021 1.0 1.0 1.0 0
vsb 16 40021 1.0 1.0 1.0 0
vsb 16 40021 1.0 1.0 1.0 0
vsb 16 40021 1.0 1.0 1.0 0
vsb 16 40021 1.0 1.0 1.0 0
vsb 16 40021 1.0 1.0 1.0 0
vsb 16 40021 1.0 1.0 1.0 0
vsb 16 40021 1.0 1.0 1.0 1
vsb 16 40021 1.0 1.0 1.0 1
vsb 16 40021 1.0 1.0 1.0 1
vsb 16 40021 1.0 1.0 1.0 1
vsb 16 40021 0.0 0.0 0.0 1
vsb 16 40021 0.0 0.0 0.0 1
vsb 16 40021 1.0 1.0 1.0 1
vsb 16 40021 1.0 1.0 1.0 1
vsb 16 40021 1.0 1.0 1.0 1
vsb 16 40021 1.0 1.0 1.0 1
vsb 16 40021 1.0 1.0 1.0 1
vsb 16 40021 1.0 1.0 1.0 1
vsb 16 40021 1.0 1.0 1.0 1
vsb 16 40021 1.0 1.0 1.0 1
vsb 16 40021 1.0 1.0 1.0 1
vsb 16 40021 1.0 1.0 1.0 1
vsb 16 40021 1.0 1.0 1.0 1
vsb 16 40021 1.0 1.0 1.0 1
vsb 16 40021 1.0 1.0 1.0 1
vsb 16 40021 1.0 1.0 1.0 1
vsb 16 40021 1.0 1.0 1.0 1
vsb 17 40048 1.0 1.0 1.0 0
vsb 17 40048 1.0 1.0 1.0 1
vsb 17 40048 1.0 1.0 1.0 1
vsb 17 40048 1.0 1.0 1.0 1
vsb 17 40048 1.0 1.0 1.0 1
vsb 17 40048 1.0 1.0 1.0 1
vsb 17 40048 1.0 1.0 1.0 1
vsb 17 40048 0.0 0.0 0.0 1
vsb 17 40048 1.0 1.0 1.0 1
vsb 17 40048 1.0 1.0 1.0 1
vsb 17 40048 1.0 1.0 1.0 1
vsb 17 40048 0.2 0.1 0.386852807235 1
vsb 17 40048 0.0 0.0 0.0 1
vsb 17 40048 1.0 1.0 1.0 1
vsb 17 40048 1.0 1.0 1.0 1
vsb 17 40048 1.0 1.0 1.0 1
vsb 17 40048 1.0 1.0 1.0 1
vsb 17 40048 1.0 1.0 1.0 1
vsb 17 40048 0.0 0.0 0.0 1
vsb 17 40048 1.0 1.0 1.0 1
vsb 17 40048 1.0 1.0 1.0 1
vsb 17 40048 1.0 1.0 1.0 1
vsb 17 40048 1.0 1.0 1.0 1
vsb 17 40048 1.0 1.0 1.0 1
vsb 18 40009 1.0 1.0 1.0 0
vsb 18 40009 1.0 1.0 1.0 0
vsb 19 40009 1.0 0.9 0.988860888926 0
vsb 19 40009 1.0 0.8 0.996147378625 0
vsb 19 40009 1.0 0.9 0.997085901983 0
vsb 19 40009 1.0 0.9 1.0 1
vsb 19 40009 0.2 0.1 1.0 1
vsb 19 40009 0.0 0.0 0.0 1
vsb 19 40009 0.2 0.1 1.0 1
vsb 19 40009 0.2 0.1 1.0 1
vsb 19 40009 1.0 0.9 1.0 1
vsb 19 40009 1.0 1.0 1.0 1
vsb 19 40009 1.0 0.9 0.988860888926 1
vsb 21 40048 1.0 1.0 1.0 0
vsb 21 40048 1.0 1.0 1.0 0
vsb 21 40048 1.0 1.0 1.0 1
vsb 21 40048 1.0 1.0 1.0 1
vsb 21 40048 1.0 1.0 1.0 1
vsb 21 40048 1.0 1.0 1.0 1
vsb 21 40048 0.2 0.1 1.0 1
vsb 21 40048 0.2 0.1 1.0 1
vsb 21 40048 0.2 0.1 1.0 1
vsb 21 40048 1.0 0.9 0.993478637514 1
vsb 21 40048 1.0 1.0 1.0 1
vsb 21 40048 1.0 1.0 1.0 1
vsb 21 40048 1.0 0.8 0.849294942067 1
vsb 21 40048 1.0 0.8 0.993035071112 1
vsb 21 40048 1.0 1.0 1.0 1
vsb 12 40048 1.0 0.7 0.609469949982 0
vsb 12 40048 1.0 1.0 1.0 0
vsb 12 40048 1.0 1.0 1.0 1
vsb 12 40048 1.0 1.0 1.0 1
vsb 12 40048 1.0 1.0 1.0 1
vsb 12 40048 1.0 1.0 1.0 1
vsb 12 40048 1.0 1.0 1.0 1
vsb 12 40048 1.0 1.0 1.0 1
vsb 12 40048 1.0 1.0 1.0 1
vsb 23 40009 1.0 0.9 1.0 0
vsb 23 40009 1.0 0.9 0.973827093747 0
vsb 23 40009 1.0 1.0 1.0 0
