sys userno topicid top5 top10 inum
vsb 01 40009 -1 1.0 0
vsb 01 40009 -1 1.0 0
vsb 01 40009 -1 1.0 1
vsb 01 40009 -1 1.0 1
vsb 01 40009 -1 1.0 1
vsb 01 40009 -1 1.0 1
vsb 01 40009 -1 1.0 1
vsb 01 40009 -1 1.0 1
vsb 01 40009 -1 0.9 1
vsb 01 40009 -1 0.9 1
vsb 01 40009 -1 0.9 1
vsb 01 40009 -1 0.9 1
vsb 01 40009 -1 0.9 1
vse 01 40048 -1 0.9 0
vse 01 40048 -1 0.9 0
vse 01 40048 -1 0.9 0
vse 01 40048 -1 0.9 0
vse 01 40048 -1 0.9 1
vse 01 40048 -1 0.9 1
vse 01 40048 -1 0.9 1
vse 01 40048 -1 0.9 1
vse 01 40048 -1 0.9 1
vse 01 40048 -1 0.9 1
vse 01 40048 -1 0.9 1
vse 01 40048 -1 0.9 1
vse 01 40048 -1 0.9 1
vse 01 40048 -1 0.9 1
vse 01 40048 -1 0.9 1
vse 01 40048 -1 0.9 1
vse 01 40048 -1 0.9 1
vse 01 40048 -1 0.9 1
vse 01 40048 -1 0.9 1
vse 01 40026 -1 0.7 0
vse 01 40026 -1 0.7 0
vse 01 40026 -1 0.7 0
vse 01 40026 -1 0.9 0
vse 01 40026 -1 0.9 1
vse 01 40026 -1 0.9 1
vse 01 40026 -1 0.9 1
vse 01 40026 -1 0.9 1
vse 01 40026 -1 0.9 1
vse 01 40026 -1 0.9 1
vse 01 40026 -1 0.9 1
vse 01 40026 -1 0.9 1
vse 01 40026 -1 0.9 1
vse 01 40026 -1 0.9 1
vse 01 40026 -1 0.9 1
vse 02 40009 -1 0.9 0
vse 02 40009 -1 0.7 0
vse 02 40009 -1 0.7 0
vse 02 40009 -1 1.0 0
vse 02 40009 -1 1.0 1
vse 02 40009 -1 0.9 1
vse 02 40009 -1 0.9 1
vse 02 40009 -1 0.9 1
vse 02 40009 -1 1.0 1
vse 02 40009 -1 1.0 1
vse 02 40009 -1 1.0 1
vse 02 40009 -1 1.0 1
vse 02 40009 -1 1.0 1
vse 02 40009 -1 1.0 1
vse 02 40009 -1 1.0 1
vse 02 40009 -1 1.0 1
