sys userno topicid top5 top10 inum avgx ratiox
vsb 01 40009 -1 1.0 0 80.5 0.1
vsb 01 40009 -1 1.0 0 166.9 0.174148296593
vsb 01 40009 -1 1.0 1 166.9 0.174148296593
vsb 01 40009 -1 1.0 1 166.9 0.174148296593
vsb 01 40009 -1 1.0 1 197.2 0.234869739479
vsb 01 40009 -1 1.0 1 126.2 0.0888461538462
vsb 01 40009 -1 1.0 1 114.4 0.0661538461538
vsb 01 40009 -1 1.0 1 337.6 0.536666666667
vsb 01 40009 -1 0.9 1 291.3 0.440208333333
vsb 01 40009 -1 0.9 1 291.3 0.440208333333
vsb 01 40009 -1 0.9 1 284.9 0.50343980344
vsb 01 40009 -1 0.9 1 284.9 0.50343980344
vsb 01 40009 -1 0.9 1 284.9 0.50343980344
vse 01 40048 -1 0.9 0 80.5 0.1
vse 01 40048 -1 0.9 0 81.0 0.2
vse 01 40048 -1 0.9 0 81.0 0.2
vse 01 40048 -1 0.9 0 227.0 0.257894736842
vse 01 40048 -1 0.9 1 227.0 0.257894736842
vse 01 40048 -1 0.9 1 270.6 0.349084249084
vse 01 40048 -1 0.9 1 270.6 0.349084249084
vse 01 40048 -1 0.9 1 265.9 0.340476190476
vse 01 40048 -1 0.9 1 270.6 0.349084249084
vse 01 40048 -1 0.9 1 293.0 0.371080139373
vse 01 40048 -1 0.9 1 293.0 0.371080139373
vse 01 40048 -1 0.9 1 304.7 0.404136690647
vse 01 40048 -1 0.9 1 304.7 0.404136690647
vse 01 40048 -1 0.9 1 268.7 0.358064516129
vse 01 40048 -1 0.9 1 268.7 0.358064516129
vse 01 40048 -1 0.9 1 257.1 0.337977099237
vse 01 40048 -1 0.9 1 257.1 0.337977099237
vse 01 40048 -1 0.9 1 251.8 0.324763705104
vse 01 40048 -1 0.9 1 251.8 0.324763705104
vse 01 40026 -1 0.7 0 80.5 0.1
vse 01 40026 -1 0.7 0 80.5 0.1
vse 01 40026 -1 0.7 0 80.5 0.1
vse 01 40026 -1 0.9 0 365.2 0.562524654832
vse 01 40026 -1 0.9 1 377.7 0.583725490196
vse 01 40026 -1 0.9 1 294.2 0.379115044248
vse 01 40026 -1 0.9 1 294.2 0.379115044248
vse 01 40026 -1 0.9 1 340.1 0.460353982301
vse 01 40026 -1 0.9 1 340.1 0.460353982301
vse 01 40026 -1 0.9 1 491.6 0.715826086957
vse 01 40026 -1 0.9 1 491.6 0.715826086957
vse 01 40026 -1 0.9 1 442.3 0.657531760436
vse 01 40026 -1 0.9 1 442.3 0.657531760436
vse 01 40026 -1 0.9 1 480.9 0.718458781362
vse 01 40026 -1 0.9 1 480.9 0.718458781362
vse 02 40009 -1 0.9 0 81.0 0.2
vse 02 40009 -1 0.7 0 150.9 0.160407239819
vse 02 40009 -1 0.7 0 150.9 0.160407239819
vse 02 40009 -1 1.0 0 241.5 0.498456790123
vse 02 40009 -1 1.0 1 241.5 0.498456790123
vse 02 40009 -1 0.9 1 263.4 0.466666666667
vse 02 40009 -1 0.9 1 263.4 0.466666666667
vse 02 40009 -1 0.9 1 224.6 0.469480519481
vse 02 40009 -1 1.0 1 225.8 0.468810289389
vse 02 40009 -1 1.0 1 113.3 0.189204545455
vse 02 40009 -1 1.0 1 113.3 0.189204545455
vse 02 40009 -1 1.0 1 345.1 0.53126252505
vse 02 40009 -1 1.0 1 113.3 0.189204545455
vse 02 40009 -1 1.0 1 111.5 0.0867768595041
vse 02 40009 -1 1.0 1 112.4 0.0642857142857
vse 02 40009 -1 1.0 1 112.4 0.0642857142857
