sys userno topicid qno noteno noteid docno prec
vsn 03 40009 1 8 8171 XIN20001014.1400.0087 0.9976635514018691
vsn 03 40009 1 7 8170 VOA20001028.2100.0233 1.0
vsn 03 40009 1 6 8169 XIN20001110.1400.0088 1.0
vsn 03 40009 2 8 8171 XIN20001014.1400.0087 0.9976635514018691
vsn 03 40009 3 8 8171 XIN20001014.1400.0087 0.9976635514018691
vsn 03 40009 3 6 8169 XIN20001110.1400.0088 1.0
vsn 03 40009 4 6 8169 XIN20001110.1400.0088 1.0
vsn 03 40009 5 3 8166 AFA20001018.1800.0227 1.0
vsn 03 40009 5 5 8168 XIN20001110.1400.0088 0.5524861878453039
vsn 03 40009 6 1 8164 AFA20001018.1800.0227 1.0
vsn 03 40009 6 2 8165 AFA20001018.1800.0227 1.0
vsn 03 40009 6 3 8166 AFA20001018.1800.0227 1.0
vsn 03 40009 6 4 8167 AFA20001018.1800.0227 1.0
vsn 03 40009 7 1 8164 AFA20001018.1800.0227 1.0
vse 03 40021 1 13 8194 CNN20010114.1400.0018 1.0
vse 03 40021 1 1 8182 XIN20010114.2000.0128 1.0
vse 03 40021 3 12 8193 CNN20010114.1400.0018 1.0
vse 03 40021 3 10 8191 CTS20010115.2000.0008 0.9946666666666667
vse 03 40021 5 9 8190 ZBN20010115.0400.0014 0.7030075187969925
vse 03 40021 6 8 8189 ZBN20010115.0400.0014 0.0
vse 03 40021 7 3 8184 CTV20010116.1330.1565 0.9827586206896551
vse 03 40021 9 4 8185 ZBN20010115.0400.0014 1.0
vse 03 40021 9 3 8184 CTV20010116.1330.1565 0.9827586206896551
vse 03 40021 9 2 8183 XIN20010114.2000.0128 1.0
vse 03 40021 10 10 8191 CTS20010115.2000.0008 0.9946666666666667
vse 03 40021 11 7 8188 ZBN20010115.0400.0014 0.6533333333333333
vse 03 40021 11 5 8186 ZBN20010115.0400.0014 0.0
vse 03 40021 12 5 8186 ZBN20010115.0400.0014 0.0
vsb 03 40048 1 9 8180 NYT20001112.1903.0110 1.0
vsb 03 40048 1 10 8181 APW20001112.0900.0320 0.02631578947368421
vsb 03 40048 2 8 8179 NYT20001112.1903.0110 0.9979166666666667
vsb 03 40048 3 6 8177 APW20001112.1831.0439 1.0
vsb 03 40048 3 7 8178 NYT20001112.1903.0110 0.0
vsb 03 40048 4 2 8173 APW20001112.1831.0439 1.0
vsb 03 40048 5 1 8172 APW20001112.1831.0439 1.0
vsb 03 40048 6 6 8177 APW20001112.1831.0439 1.0
vsb 03 40048 7 3 8174 APW20001112.1831.0439 1.0
vsb 03 40048 7 5 8176 APW20001112.1831.0439 1.0
vsb 03 40048 8 4 8175 APW20001112.1831.0439 0.0
vsn 04 40009 1 6 8278 VOA20001006.2100.0364 0.996551724137931
vsn 04 40009 1 7 8279 VOA20001006.2100.0364 1.0
vsn 04 40009 1 1 8273 ZBN20001030.0400.0009 0.6455910340452526
vsn 04 40009 2 2 8274 XIN20001110.1400.0088 0.0
vsn 04 40009 3 3 8275 APW20001018.1350.0468 0.995880535530381
vsn 04 40009 3 5 8277 VOM20010124.0700.0972 0.0
vsn 04 40009 4 9 8281 NYT20001204.0926.0050 1.0
vsn 04 40009 4 7 8279 VOA20001006.2100.0364 1.0
vsn 04 40009 5 6 8278 VOA20001006.2100.0364 0.996551724137931
vsn 04 40009 6 1 8273 ZBN20001030.0400.0009 0.6455910340452526
vsn 04 40009 6 2 8274 XIN20001110.1400.0088 0.0
vsn 04 40009 6 3 8275 APW20001018.1350.0468 0.995880535530381
vsn 04 40009 7 7 8279 VOA20001006.2100.0364 1.0
vsn 04 40009 7 9 8281 NYT20001204.0926.0050 1.0
vse 04 40021 1 2 8262 ZBN20010117.0400.0003 0.9137844611528823
vse 04 40021 1 7 8267 ZBN20010115.0400.0014 0.8590998043052838
vse 04 40021 1 11 8271 APW20010114.0219.0078 0.9963855421686747
vse 04 40021 2 11 8271 APW20010114.0219.0078 0.9963855421686747
vse 04 40021 3 2 8262 ZBN20010117.0400.0003 0.9137844611528823
vse 04 40021 4 2 8262 ZBN20010117.0400.0003 0.9137844611528823
vse 04 40021 4 7 8267 ZBN20010115.0400.0014 0.8590998043052838
vse 04 40021 5 2 8262 ZBN20010117.0400.0003 0.9137844611528823
vse 04 40021 6 7 8267 ZBN20010115.0400.0014 0.8590998043052838
vse 04 40021 7 3 8263 ZBN20010117.0400.0003 1.0
