sys userno topicid isum db dbcompact dbdistance crx cry cnx cny
vsn 11 40048 1 0.616631186009 109.220336456 177.124250175 475 158 302 196
vsn 13 40009 0 80.2597676075 80.2597676075 1.0 485 227 485 228
vsn 14 40021 1 2.03212532315 126.057305421 62.0322496771 466 238 404 236
vse 14 40048 0 1.15550176353 70.2864283091 60.827625303 515 259 525 199
vse 11 40009 1 1.5417221773 143.247479834 92.9139386745 421 113 344 165
vsn 32 40021 1 1.27050826999 70.4416350311 55.4436651025 388 135 443 142
vsn 13 40009 1 0.403485584486 85.6197931429 212.200377002 664 111 462 176
vse 14 40048 0 1.00045878425 71.3138362101 71.2811335488 454 247 513 207
vse 04 40021 1 3.67447909657 110.295597213 30.0166620396 386 139 371 165
vse 11 40009 1 1.56641258771 131.289298781 83.8152730712 419 102 340 130
vsn 28 40021 1 0.761947329984 94.6104203865 124.169239347 395 141 272 124
vsn 11 40048 1 0.604084339396 110.208561468 182.439030912 486 156 308 196
vse 04 40021 1 2.38614628961 108.037368242 45.2769256907 340 165 379 188
vsn 32 40021 1 1.04166914269 79.5837951891 76.4002617797 446 102 520 83
vse 23 40048 1 0.452383127764 88.4417692162 195.501918149 645 125 450 111
vsn 11 40048 0 1.72811319325 103.109144807 59.6657355607 457 271 443 213
vse 25 40009 0 0.844266919969 81.6978214122 96.7677632272 549 169 457 199
vse 19 40048 1 0.730977381458 114.728524273 156.95222203 513 122 366 177
vse 11 40009 1 3.22574378197 142.846191405 44.283179651 401 102 406 146
vsn 28 40021 1 3.45768823166 73.9169318469 21.3775583264 540 111 536 90
vse 19 40048 1 0.610410165695 112.023154796 183.521115951 511 115 339 179
vse 16 40009 1 1.06976496437 98.4183767224 92.0 448 175 356 175
vse 25 40009 1 0.992912462627 91.9557025635 92.6120942426 199 317 238 233
vse 31 40021 1 2.53542857871 107.956869698 42.5793377121 265 142 258 184
vsn 16 40048 0 2.40678234638 108.545616994 45.0998891351 399 229 444 232
vsn 11 40048 1 0.616631186009 109.220336456 177.124250175 475 158 302 196
vse 14 40048 1 0.433844604009 97.7614691353 225.337524616 448 208 227 252
vsn 05 40021 0 0.840455100174 88.8222279417 105.683489723 435 242 495 155
vsn 31 40009 1 1.33040063614 110.671422239 83.1865373723 363 162 281 148
vsn 16 40048 1 0.608586191491 109.172967197 179.387847972 532 120 366 188
vsn 20 40048 1 0.623412605057 108.26578965 173.666346769 517 111 345 135
vse 14 40048 1 0.550911133565 105.258633038 191.062816895 433 225 244 253
vse 30 40021 1 1.4239565282 94.3901676091 66.2872536767 383 151 448 138
vsn 24 40048 1 1.04550766183 103.984659408 99.4585340733 500 164 404 138
vsn 16 40048 1 0.544796355155 107.913693289 198.080791598 576 100 386 156
